,city,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
0,Barcelona, La Dreta de l'Eixample,good condition,Flat,3,351,Yes,exterior, floor 1,2300000
1,Barcelona,Sant Gervasi - Galvany,good condition,Flat,5,298,Yes,exterior, floor 3,1750000
2,Barcelona,Sant Antoni,good condition,Penthouse,2,90,Yes,exterior, floor 7,590000
3,Barcelona,La Dreta de l'Eixample,good condition,Flat,2,130,Yes,exterior, floor 1,450000
4,Barcelona, Can Baró,good condition,Terraced,3,110,No,exterior,Multiple,430000
5,Barcelona, El Fort Pienc,good condition,Penthouse,5,161,Yes,exterior, floor 7,690000
6,Barcelona, La Sagrada Família,good condition,Duplex,2,110,No,exterior, floor 1,395000
7,Barcelona, La Nova Esquerra de l'Eixample,good condition,Flat,3,106,Yes,exterior, floor 1,595000
8,Barcelona,Pedralbes,good condition,Flat,2,62,Yes,exterior, floor 5,450000
9,Barcelona,Sant Pere - Santa Cater,good condition,Flat,5,152,Yes,exterior, floor 5,665000
10,Barcelona, El Gu,good condition,Flat,3,83,Yes,exterior, floor 2,270000
11,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,2,80,Yes,exterior, floor 1,690000
12,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,2,80,Yes,exterior, floor 3,630000
13,Barcelona, Sant Gervasi - Galvany,good condition,Flat,3,132,Yes,exterior, floor 1,790000
14,Barcelona,El Poblenou,good condition,Flat,1,41,No,exterior, floor 1,177000
15,Barcelona,Les Corts,good condition,Flat,2,80,Yes,exterior, floor 1,375000
16,Barcelona,Sant Gervasi - La Bonanova,good condition,Flat,5,170,Yes,exterior, floor 3,950000
17,Barcelona,Pedralbes,good condition,Flat,3,110,Yes,exterior, floor 8,800000
18,Barcelona, El Poble Sec - Parc de Montjuïc,good condition,Flat,3,65,No,exterior, floor 1,169000
19,Barcelona, El Gòtic,good condition,Flat,3,194,Yes,exterior, floor 2,840000
20,Barcelona,Vila de Gràcia,good condition,Flat,3,79,No,exterior,ground floor,329000
21,Barcelona,El Poblenou,good condition,Flat,3,168,Yes,exterior, floor 25,1090000
22,Barcelona,El Congrés i els Indians,good condition,Flat,2,64,Yes,exterior, floor 1,185000
23,Barcelona,La Vila Olímpica del Poblenou,good condition,Flat,3,130,Yes,exterior,mezzanine,695000
24,Barcelona,La Vila Olímpica del Poblenou,good condition,Flat,3,111,Yes,exterior, floor 4,586000
25,Barcelona,Sant Martí de Provençals,good condition,Flat,4,83,Yes,exterior, floor 3,239000
26,Barcelona,La Dreta de l'Eixample,good condition,Penthouse,3,120,Yes,exterior, floor 6,790000
27,Barcelona,Sant Antoni,good condition,Flat,5,181,Yes,exterior, floor 2,995000
28,Barcelona, Pr,good condition,Flat,3,109,Yes,exterior, floor 3,775000
29,Barcelona,La Sagrada Família,good condition,Flat,4,94,Yes,exterior, floor 1,420000
30,Barcelona,El Poblenou,good condition,Flat,3,195,Yes,exterior, floor 3,640000
31,Barcelona, El Gòtic,good condition,Penthouse,2,108,Yes,exterior, floor 6,649000
32,Barcelona, Sant Gervasi - Galvany,good condition,Flat,4,169,Yes,exterior, floor 1,775000
33,Barcelona, El Clot,good condition,Flat,4,93,Yes,exterior, floor 6,340000
34,Barcelona, Sant Antoni,good condition,Flat,4,140,Yes,exterior, floor 5,495000
35,Barcelona, El Camp de l'Arpa del Clot,good condition,Flat,4,102,Yes,exterior, floor 3,345000
36,Barcelona, El Gòtic,good condition,Flat,3,174,Yes,exterior, floor 1,950000
37,Barcelona, La Bordeta,good condition,Detached,4,239,No,exterior,Multiple,690000
38,Barcelona, La Dreta de l'Eixample,good condition,Penthouse,3,153,Yes,exterior, floor 9,1495000
39,Barcelona,El Gòtic,good condition,Flat,3,144,Yes,exterior, floor 1,650000
40,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,4,124,Yes,exterior, floor 3,530000
41,Barcelona,Sant Gervasi - Galvany,good condition,Flat,3,115,Yes,exterior, floor 2,660000
42,Barcelona,La Dreta de l'Eixample,good condition,Flat,3,131,Yes,exterior, floor 6,560000
43,Barcelona,La Dreta de l'Eixample,good condition,Duplex,2,100,Yes,exterior, floor 5,800000
44,Barcelona,La Dreta de l'Eixample,good condition,Flat,3,115,Yes,exterior, floor 3,990000
45,Barcelona,Sant Gervasi - Galvany,good condition,Flat,5,277,Yes,exterior, floor 5,1900000
46,Barcelona,El Camp d'En Grassot i Gràcia Nova,good condition,Flat,3,104,Yes,exterior, floor 1,470000
47,Barcelona, El Poblenou,good condition,Flat,2,71,Yes,interior, floor 2,370000
48,Barcelona, El Poble Sec - Parc de Montjuïc,good condition,Flat,4,228,Yes,interior,ground floor,650000
49,Barcelona, Sant Gervasi - Galvany,good condition,Flat,3,160,Yes,exterior, floor 7,880000
50,Barcelona, Sarrià,good condition,House,5,380,No,exterior,Multiple,1750000
51,Barcelona, Sant Gervasi - La Bonanova,good condition,Detached,6,585,No,exterior,Multiple,2350000
52,Barcelona, La Dreta de l'Eixample,good condition,Flat,7,271,Yes,exterior, floor 1,1800000
53,Barcelona, L'Antiga Esquerra de l'Eixample,good condition,Flat,2,82,Yes,exterior, floor 3,380000
54,Barcelona, La Dreta de l'Eixample,good condition,Flat,3,175,Yes,exterior, floor 4,1600000
55,Barcelona, paseo de Sant Gervasi,good condition,Flat,3,118,Yes,exterior, floor 3,549000
56,Barcelona, El Gòtic,good condition,Flat,2,84,Yes,exterior, floor 3,475000
57,Barcelona, L'Antiga Esquerra de l'Eixample,good condition,Flat,1,63,Yes,exterior, floor 1,335000
58,Barcelona,La Dreta de l'Eixample,good condition,Penthouse,4,189,Yes,exterior, floor 7,1175000
59,Barcelona,Sant Gervasi - Galvany,good condition,Flat,3,150,Yes,exterior,ground floor,780000
60,Barcelona,El Carmel,good condition,Flat,3,50,Yes,exterior,mezzanine,135000
61,Barcelona,La Maternitat i Sant Ramon,good condition,Penthouse,3,130,Yes,exterior, floor 9,530000
62,Barcelona,La Dreta de l'Eixample,good condition,Duplex,3,223,Yes,exterior, floor 8,1995000
63,Barcelona,La Dreta de l'Eixample,good condition,Duplex,3,153,Yes,exterior, floor 8,1495000
64,Barcelona,La Sagrada Família,good condition,Flat,3,85,Yes,exterior, floor 2,339000
65,Barcelona,Sant Gervasi - Galvany,good condition,Flat,5,160,Yes,exterior, floor 4,850000
66,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,2,120,Yes,exterior, floor 3,575000
67,Barcelona,Pedralbes,good condition,Flat,4,206,Yes,exterior, floor 11,1250000
68,Barcelona,Sant Gervasi - La Bonanova,good condition,Flat,4,232,Yes,exterior, floor 2,1175000
69,Barcelona,Sant Gervasi - Galvany,good condition,Flat,4,203,Yes,exterior, floor 1,1095000
70,Barcelona, La Dreta de l'Eixample,good condition,Flat,1,59,Yes,exterior, floor 4,480000
71,Barcelona, Sant Antoni,good condition,Penthouse,4,167,Yes,exterior, floor 6,695000
72,Barcelona, Pedralbes,good condition,Flat,5,232,Yes,exterior, floor 2,1660000
73,Barcelona, La Dreta de l'Eixample,good condition,Duplex,4,800,Yes,exterior,ground floor,1700000
74,Barcelona, Sant Pere - Santa Cater,good condition,Flat,2,86,No,exterior,ground floor,298000
75,Barcelona, El Putxet i el Farró,good condition,Flat,4,105,Yes,exterior, floor 2,425000
76,Barcelona, El Raval,good condition,Flat,3,145,Yes,exterior, floor 1,680000
77,Barcelona, Sant Gervasi - Galvany,good condition,Flat,5,155,Yes,exterior, floor 4,875000
78,Barcelona, La Dreta de l'Eixample,good condition,Flat,3,148,Yes,exterior, floor 3,995000
79,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,4,102,Yes,exterior, floor 3,440000
80,Barcelona, Sant Gervasi - Galvany,good condition,Flat,5,250,Yes,exterior, floor 2,1100000
81,Barcelona, L'Antiga Esquerra de l'Eixample,good condition,Flat,2,101,Yes,exterior, floor 3,625000
82,Barcelona,La Maternitat i Sant Ramon,good condition,Flat,3,100,Yes,exterior, floor 2,385000
83,Barcelona,El Gòtic,good condition,Penthouse,2,88,Yes,exterior, floor 4,710000
84,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,1,77,Yes,exterior, floor 1,260000
85,Barcelona, La Nova Esquerra de l'Eixample,good condition,Flat,3,87,Yes,exterior, floor 5,399000
86,Barcelona,El Clot,good condition,Flat,1,60,Yes,exterior, floor 1,179000
87,Barcelona, Vallvidrera - El Tibidabo i les Planes,good condition,Detached,4,243,No,exterior,Multiple,650000
88,Barcelona, El Fort Pienc,good condition,Flat,3,118,Yes,exterior, floor 2,445000
89,Barcelona, El Putxet i el Farró,good condition,Semi-detached,5,311,No,exterior,Multiple,960000
90,Barcelona, Les Tres Torres,good condition,Flat,3,118,Yes,exterior, floor 2,795000
91,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,72,Yes,exterior, floor 5,450000
92,Barcelona, Sant Pere - Santa Cater,good condition,Flat,3,68,No,exterior, floor 3,233150
93,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,3,87,Yes,exterior, floor 5,365000
94,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,2,90,Yes,exterior, floor 1,690000
95,Barcelona,Vallvidrera - El Tibidabo i les Planes,good condition,Detached,5,380,No,exterior,Multiple,830000
96,Barcelona, rambla de Catalunya,good condition,Flat,3,162,Yes,exterior, floor 4,1600000
97,Barcelona, Sant Gervasi - Galvany,good condition,Flat,4,225,Yes,exterior, floor 6,1100000
98,Barcelona, El Besòs,good condition,Flat,3,94,Yes,exterior, floor 7,359000
99,Barcelona, Sarrià,good condition,House,6,296,No,exterior,Multiple,1350000
100,Barcelona, El Gòtic,good condition,Flat,1,81,No,exterior,mezzanine,430000
101,Barcelona, La Font d'En Fargues,good condition,Rustic,5,161,No,exterior,Multiple,490000
102,Barcelona,Sant Gervasi - Galvany,good condition,Penthouse,3,140,Yes,exterior, floor 5,1050000
103,Barcelona,Sant Gervasi - Galvany,good condition,Flat,4,134,Yes,exterior, floor 4,595000
104,Barcelona, Sant Pere - Santa Cater,good condition,Flat,1,86,Yes,exterior, floor 4,390000
105,Barcelona, Les Corts,good condition,Flat,4,170,Yes,exterior, floor 1,668000
106,Barcelona, El Putxet i el Farró,good condition,Duplex,3,197,Yes,exterior, floor 2,800000
107,Barcelona, Sant Gervasi - Galvany,good condition,Penthouse,4,145,Yes,exterior, floor 5,760000
108,Barcelona,La Maternitat i Sant Ramon,good condition,Duplex,3,170,Yes,exterior,ground floor,490000
109,Barcelona, La Sagrada Família,good condition,Flat,4,101,Yes,interior, floor 3,309000
110,Barcelona, La Font d'En Fargues,good condition,Flat,4,122,No,exterior, floor 2,449000
111,Barcelona, La Dreta de l'Eixample,good condition,Penthouse,2,213,Yes,exterior, floor 7,1500000
112,Barcelona, Sant Gervasi - Galvany,good condition,Flat,4,105,Yes,exterior, floor 2,630000
113,Barcelona, La Dreta de l'Eixample,good condition,Flat,3,318,Yes,exterior, floor 4,2500000
114,Barcelona,Sant Antoni,good condition,Flat,3,80,Yes,exterior, floor 2,365000
115,Barcelona,Provençals del Poblenou,good condition,Flat,4,90,Yes,exterior, floor 4,370000
116,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,4,109,Yes,exterior, floor 7,475000
117,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,110,Yes,exterior, floor 3,645000
118,Barcelona, El Fort Pienc,good condition,Flat,4,97,Yes,exterior, floor 2,495000
119,Barcelona, Sant Antoni,good condition,Penthouse,3,101,Yes,exterior, floor 5,480000
120,Barcelona,El Camp d'En Grassot i Gràcia Nova,good condition,Flat,3,130,Yes,exterior,mezzanine,630000
121,Barcelona, Vallcarca i els Penitents,good condition,Semi-detached,4,364,No,exterior,Multiple,1149000
122,Barcelona, Sarrià,good condition,Semi-detached,5,465,No,exterior,Multiple,3370000
123,Barcelona, Les Corts,good condition,Flat,3,88,Yes,exterior, floor 2,389000
124,Barcelona, El Camp d'En Grassot i Gràcia Nova,good condition,Flat,4,85,Yes,exterior, floor 6,375000
125,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,3,113,Yes,exterior,mezzanine,378000
126,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,3,108,Yes,exterior,mezzanine,375000
127,Barcelona, La Bordeta,good condition,Flat,4,90,Yes,exterior, floor 3,279500
128,Barcelona,Les Corts,good condition,Flat,2,134,Yes,exterior, floor 1,670000
129,Barcelona,Sarrià,good condition,Flat,4,217,Yes,exterior, floor 4,1150000
130,Barcelona,Les Corts,good condition,Flat,3,121,Yes,exterior, floor 6,1454000
131,Barcelona,Les Corts,good condition,Flat,3,95,Yes,exterior, floor 5,1082000
132,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,125,Yes,exterior, floor 5,690000
133,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,2,71,Yes,exterior, floor 3,348000
134,Barcelona,El Putxet i el Farró,good condition,Flat,3,90,No,exterior,ground floor,490000
135,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,90,Yes,exterior, floor 3,760000
136,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,2,148,Yes,exterior,mezzanine,1325000
137,Barcelona,La Dreta de l'Eixample,good condition,Flat,5,206,Yes,exterior, floor 4,1095000
138,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,good condition,Penthouse,4,147,Yes,exterior, floor 5,790000
139,Barcelona, calle d'Av,good condition,Penthouse,2,81,No,exterior, floor 5,339000
140,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,118,Yes,exterior, floor 3,975000
141,Barcelona,La Sagrada Família,good condition,Flat,3,121,Yes,exterior, floor 1,465000
142,Barcelona, La Salut,good condition,Flat,3,91,Yes,exterior, floor 1,499000
143,Barcelona, Mar,good condition,Flat,2,75,Yes,exterior, floor 5,384900
144,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,3,93,Yes,exterior, floor 8,405000
145,Barcelona,La Font d'En Fargues,good condition,Flat,2,64,No,exterior,ground floor,149000
146,Barcelona,La Dreta de l'Eixample,good condition,Flat,3,138,Yes,exterior, floor 2,850000
147,Barcelona,Sant Gervasi - Galvany,good condition,Flat,3,126,Yes,exterior, floor 1,735000
148,Barcelona,Sant Gervasi - Galvany,good condition,Flat,3,130,Yes,exterior, floor 1,795000
149,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,2,132,Yes,exterior,mezzanine,599000
150,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,135,Yes,exterior, floor 4,895000
151,Barcelona,Sant Gervasi - Galvany,good condition,Flat,3,115,Yes,exterior, floor 4,615000
152,Barcelona,Sant Gervasi - Galvany,good condition,Flat,4,144,Yes,exterior, floor 4,630000
153,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,141,Yes,exterior, floor 3,825000
154,Barcelona,Sant Gervasi - Galvany,good condition,Flat,3,128,Yes,exterior, floor 4,749000
155,Barcelona,Pedralbes,good condition,Flat,4,225,Yes,exterior, floor 1,1350000
156,Barcelona,El Fort Pienc,good condition,Flat,3,158,Yes,exterior, floor 4,599000
157,Barcelona,Sant Gervasi - Galvany,good condition,Flat,2,102,Yes,exterior, floor 4,595000
158,Barcelona,La Dreta de l'Eixample,good condition,Flat,3,173,Yes,exterior, floor 4,1600000
159,Barcelona,La Dreta de l'Eixample,good condition,Flat,4,136,Yes,exterior,mezzanine,745000
160,Barcelona, La Dreta de l'Eixample,good condition,Flat,6,235,Yes,exterior, floor 4,1220000
161,Barcelona, La Barceloneta,good condition,Flat,3,76,No,exterior, floor 3,395000
162,Barcelona, La Dreta de l'Eixample,good condition,Flat,3,122,Yes,exterior, floor 1,620000
163,Barcelona,Sants,good condition,Flat,3,78,Yes,exterior, floor 3,390000
164,Barcelona, La Verneda i la Pau,good condition,Flat,3,79,No,exterior, floor 1,150000
165,Barcelona, El Raval,good condition,Flat,3,108,No,exterior, floor 2,298000
166,Barcelona, Sant Gervasi - Galvany,good condition,Flat,3,109,Yes,exterior, floor 1,380000
167,Barcelona,El Parc i la Llacuna del Poblenou,good condition,Flat,3,73,Yes,exterior,ground floor,283000
168,Barcelona,Les Roquetes,good condition,Flat,3,105,No,exterior, floor 1,240000
169,Barcelona,La Dreta de l'Eixample,good condition,Flat,4,154,Yes,exterior, floor 3,590000
170,Barcelona,El Camp d'En Grassot i Gràcia Nova,good condition,Flat,2,65,Yes,interior, floor 4,290000
171,Barcelona,El Baix Gu,good condition,Flat,3,122,Yes,exterior, floor 3,450000
172,Barcelona,La Prosperitat,good condition,Penthouse,2,60,Yes,exterior, floor 4,254900
173,Barcelona,La Sagrada Família,good condition,Flat,4,87,Yes,exterior, floor 4,354000
174,Barcelona, Sant Gervasi - La Bonanova,good condition,Flat,3,116,Yes,exterior,mezzanine,845000
175,Barcelona,Sant Gervasi - Galvany,good condition,Flat,4,240,Yes,exterior, floor 6,960000
176,Barcelona, Les Corts,good condition,Flat,4,96,Yes,exterior, floor 4,385000
177,Barcelona, El Gu,good condition,Flat,3,88,Yes,exterior, floor 1,340000
178,Barcelona, El Clot,good condition,Penthouse,3,114,Yes,exterior, floor 5,465000
179,Barcelona, Sant Gervasi - Galvany,good condition,Flat,5,152,Yes,exterior, floor 4,750000
180,Barcelona, Provençals del Poblenou,good condition,Duplex,2,107,Yes,exterior,ground floor,698000
181,Barcelona, Sarrià,good condition,Flat,3,148,Yes,exterior, floor 2,1300000
182,Barcelona, Sant Antoni,good condition,Flat,3,140,Yes,exterior, floor 8,635000
183,Barcelona, Vilapic,good condition,Penthouse,2,42,Yes,exterior, floor 6,192100
184,Barcelona, Sant Gervasi - Galvany,good condition,Flat,4,180,Yes,exterior, floor 1,1095000
185,Barcelona, El Baix Gu,good condition,Flat,3,87,Yes,exterior, floor 5,625000
186,Barcelona, Sarrià,good condition,Flat,4,139,Yes,exterior, floor 3,1100000
187,Barcelona, Les Tres Torres,good condition,Penthouse,4,365,Yes,exterior, floor 5,2150000
188,Barcelona, Vallcarca i els Penitents,good condition,Penthouse,2,80,Yes,exterior, floor 4,429000
189,Barcelona, El Poblenou,good condition,Penthouse,2,93,No,exterior, floor 2,455000
190,Barcelona, Vilapic,good condition,Penthouse,3,125,Yes,exterior, floor 5,460000
191,Barcelona, La Nova Esquerra de l'Eixample,good condition,Penthouse,5,155,Yes,exterior, floor 9,890000
192,Barcelona,El Gòtic,good condition,Flat,3,134,Yes,exterior, floor 1,790000
193,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,2,112,Yes,exterior,mezzanine,550000
194,Barcelona,Les Corts,good condition,Flat,4,95,Yes,exterior, floor 8,560000
195,Barcelona,Sant Andreu,good condition,Terraced,3,75,No,exterior,Multiple,298000
196,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,1,52,Yes,exterior, floor 5,370000
197,Barcelona,Les Corts,good condition,Flat,2,105,Yes,exterior,ground floor,573000
198,Barcelona,Les Corts,good condition,Flat,3,76,Yes,exterior, floor 3,339500
199,Barcelona,La Maternitat i Sant Ramon,good condition,Flat,4,101,Yes,interior, floor 3,437500
200,Barcelona,La Dreta de l'Eixample,good condition,Flat,3,146,Yes,exterior, floor 1,1430000
201,Barcelona,La Dreta de l'Eixample,good condition,Flat,3,169,Yes,exterior, floor 6,1650000
202,Barcelona,Sants,good condition,Flat,2,82,Yes,exterior, floor 3,379000
203,Barcelona,La Sagrada Família,good condition,Flat,4,84,Yes,exterior, floor 4,320000
204,Barcelona,Sant Pere - Santa Cater,good condition,Flat,2,74,No,exterior, floor 2,315000
205,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,3,75,Yes,exterior, floor 2,540000
206,Barcelona, Sant Antoni,good condition,Flat,4,136,Yes,exterior, floor 4,820000
207,Barcelona, El Putxet i el Farró,good condition,Flat,4,130,Yes,exterior, floor 1,720000
208,Barcelona, Sarrià,good condition,Flat,3,126,Yes,exterior, floor 1,790000
209,Barcelona,Sants,good condition,Flat,3,93,Yes,exterior, floor 8,405000
210,Barcelona, El Putxet i el Farró,good condition,House,5,311,No,exterior,Multiple,990000
211,Barcelona, El Poblenou,good condition,Flat,3,90,Yes,interior,ground floor,330000
212,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,3,93,Yes,exterior, floor 8,415000
213,Barcelona, cam,good condition,Detached,4,155,No,exterior,Multiple,665000
