,prices,address,description
0,"2,300,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 351 m² Floor 1 exterior with lift 
1,"1,750,000€","Flat / Apartment in via Augusta, Sant Gervasi - Galvany, Barcelona",5 bed 298 m² Floor 3 exterior with lift 
2,"495,000€","Flat / Apartment in El Camp d'En Grassot i Gràcia Nova, Barcelona",4 bed 126 m² Floor 5  with lift 
3,"590,000€","Penthouse in calle d'Entença, Sant Antoni, Barcelona",2 bed 90 m² Floor 7 exterior with lift 
4,"450,000€","Flat / Apartment in avenida Diagonal, La Dreta de l'Eixample, Barcelona",2 bed 130 m² Floor 1 exterior with lift 
5,"800,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",4 bed 165 m² Floor 2  with lift 
6,"249,000€","Flat / Apartment in El Raval, Barcelona",2 bed 70 m²   without lift 
7,"850,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 150 m² Floor 3  with lift 
8,"430,000€","Terraced house in Can Baró, Barcelona",3 bed 110 m² 
9,"685,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 129 m² Floor 2  with lift 
10,"475,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 105 m² Floor 2  with lift 
11,"690,000€","Penthouse in El Fort Pienc, Barcelona",5 bed 161 m² Floor 7  with lift 
12,"1,295,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",4 bed 256 m² Ground floor  with lift 
13,"535,000€","Flat / Apartment in Sant Andreu, Barcelona",3 bed 178 m² Floor 1  without lift 
14,"1,100,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",3 bed 234 m² Floor 1  without lift 
15,"830,000€","Penthouse in Sant Gervasi - La Bonanova, Barcelona",5 bed 184 m²   with lift 
16,"1,290,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",3 bed 130 m² Floor 1  with lift 
17,"750,000€","Flat / Apartment in Vila de Gràcia, Barcelona",1 bed 202 m² Ground floor  without lift 
18,"395,000€","Duplex in La Sagrada Família, Barcelona",2 bed 110 m² Floor 1 exterior without lift 
19,"595,000€","Flat / Apartment in La Nova Esquerra de l'Eixample, Barcelona",3 bed 106 m² Floor 1 exterior with lift 
20,"1,400,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 200 m²  exterior with lift 
21,"1,080,000€","Flat / Apartment in Vila de Gràcia, Barcelona",3 bed 189 m²  exterior with lift 
22,"1,395,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 249 m²  exterior with lift 
23,"450,000€","Flat / Apartment in calle del Capità Arenas, Pedralbes, Barcelona",2 bed 62 m² Floor 5 exterior with lift 
24,"665,000€","Flat / Apartment in avenida de Francesc Cambó, Sant Pere - Santa Caterina i la Ribera, Barcelona",5 bed 152 m² Floor 5 exterior with lift 
25,"749,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 135 m²  exterior with lift 
26,"327,000€","Flat / Apartment in Diagonal Mar i el Front Marítim del Poblenou, Barcelona",3 bed 84 m² Floor 7  with lift 
27,"270,000€","Flat / Apartment in El Guinardó, Barcelona",3 bed 83 m² Floor 2 exterior with lift 
28,"1,475,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",5 bed 200 m²  exterior with lift 
29,"495,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 86 m²  exterior with lift 
30,"690,000€","Flat / Apartment in avenida de Josep Tarradellas, L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 80 m² Floor 1 exterior with lift 
31,"630,000€","Flat / Apartment in avenida de Josep Tarradellas, L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 80 m² Floor 3 exterior with lift 
32,"790,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",3 bed 132 m² Floor 1 exterior with lift 
33,"1,020,000€","Flat / Apartment in calle del Consell de Cent, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 400 m²  interior without lift 
34,"177,000€","Flat / Apartment in rambla del Poblenou, El Poblenou, Barcelona",1 bed 41 m² Floor 1 exterior without lift 
35,"375,000€","Flat / Apartment in calle del Marquès de Sentmenat, Les Corts, Barcelona",2 bed 80 m² Floor 1 exterior with lift 
36,"950,000€","Flat / Apartment in calle de Mandri, Sant Gervasi - La Bonanova, Barcelona",5 bed 170 m² Floor 3 exterior with lift 
37,"800,000€","Flat / Apartment in paseo de Manuel Girona, Pedralbes, Barcelona",3 bed 110 m² Floor 8 exterior with lift 
38,"1,200,000€","Flat / Apartment in calle de la Diputació, L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 149 m²  exterior with lift 
39,"169,000€","Flat / Apartment in El Poble Sec - Parc de Montjuïc, Barcelona",3 bed 65 m² Floor 1 exterior without lift 
40,"840,000€","Flat / Apartment in El Gòtic, Barcelona",3 bed 194 m² Floor 2 exterior with lift 
41,"329,000€","Flat / Apartment in calle de Massens, Vila de Gràcia, Barcelona",3 bed 79 m² Ground floor exterior without lift 
42,"1,090,000€","Flat / Apartment in Bilbao, 110, El Poblenou, Barcelona",3 bed 168 m² Floor 25 exterior with lift 
43,"185,000€","Flat / Apartment in Cep, El Congrés i els Indians, Barcelona",2 bed 64 m² Floor 1 exterior with lift 
44,"695,000€","Flat / Apartment in calle de Frederic Mompou, La Vila Olímpica del Poblenou, Barcelona",3 bed 130 m² Mezzanine exterior with lift 
45,"586,000€","Flat / Apartment in calle de Jaume Vicens i Vives, La Vila Olímpica del Poblenou, Barcelona",3 bed 111 m² Floor 4 exterior with lift 
46,"239,000€","Flat / Apartment in Gran Via de les Corts Catalanes, Sant Martí de Provençals, Barcelona",4 bed 83 m² Floor 3 exterior with lift 
47,"790,000€","Penthouse in calle de Girona, La Dreta de l'Eixample, Barcelona",3 bed 120 m² Floor 6 exterior with lift 
48,"995,000€","Flat / Apartment in calle de Viladomat, Sant Antoni, Barcelona",5 bed 181 m² Floor 2 exterior with lift 
