,prices,address,description
0,"495,000€","Flat / Apartment in plaza Guinardó, 10, El Guinardó, Barcelona",3 bed 115 m² Floor 1 exterior with lift 
1,"395,000€","Duplex in plaza Guinardó, 10, El Guinardó, Barcelona",105 m² Ground floor exterior with lift 
2,"440,000€","Duplex in plaza Guinardó, 10, El Guinardó, Barcelona",2 bed 104 m² Ground floor exterior with lift 
3,"530,000€","Penthouse in Vallcarca i els Penitents, Barcelona",2 bed 108 m² Floor 3 exterior with lift 
4,"695,000€","Flat / Apartment in calle tuset, 13, Sant Gervasi - Galvany, Barcelona",3 bed 90 m² Floor 1 exterior with lift 
5,"921,000€","Flat / Apartment in calle tuset, 13, Sant Gervasi - Galvany, Barcelona",3 bed 118 m² Floor 2 exterior with lift 
6,"725,000€","Flat / Apartment in calle tuset, 13, Sant Gervasi - Galvany, Barcelona",2 bed 87 m² Floor 2 exterior with lift 
7,"411,000€","Flat / Apartment in paseo de Taulat, 179, El Poblenou, Barcelona",2 bed 81 m² Floor 2 exterior with lift 
8,"403,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",1 bed 51 m² Floor 1 exterior with lift 
9,"577,500€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 89 m² Ground floor exterior with lift 
10,"617,000€","Penthouse in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 95 m² Floor 2 exterior with lift 
11,"378,500€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 63 m² Floor 1 exterior with lift 
12,"426,000€","Flat / Apartment in paseo de Taulat, 179, El Poblenou, Barcelona",2 bed 76 m² Floor 1 exterior with lift 
13,"473,500€","Flat / Apartment in paseo de Taulat, 179, El Poblenou, Barcelona",3 bed 96 m² Floor 2 exterior with lift 
14,"536,500€","Flat / Apartment in Travessera de Dalt, 97, La Salut, Barcelona",3 bed 106 m² 
15,"1,269,000€","Penthouse in calle Paris, 210, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 105 m² Floor 5 exterior with lift 
16,"1,075,000€","Flat / Apartment in calle Paris, 210, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 105 m² Floor 1 exterior with lift 
17,"1,879,000€","Flat / Apartment in calle Paris, 210, L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 210 m² Floor 1 exterior with lift 
18,"418,200€","Flat / Apartment in calle Escocia, 75, Vilapicina i la Torre Llobeta, Barcelona",3 bed 83 m² Floor 3 exterior with lift 
19,"795,000€","Flat / Apartment in calle Marià Cubí, NN, Sant Gervasi - Galvany, Barcelona",3 bed 124 m² Floor 2 exterior with lift 
20,"445,000€","Flat / Apartment in calle Marià Cubí, NN, Sant Gervasi - Galvany, Barcelona",1 bed 62 m² Floor 2 exterior with lift 
21,"420,000€","Flat / Apartment in calle Marià Cubí, NN, Sant Gervasi - Galvany, Barcelona",1 bed 62 m² Floor 1 exterior with lift 
22,"860,000€","Flat / Apartment in avenida Eduard Maristany, 7, El Besòs, Barcelona",5 bed 201 m² Floor 14 exterior with lift 
23,"874,800€","Flat / Apartment in avenida Eduard Maristany, 7, El Besòs, Barcelona",5 bed 206 m² Floor 14 exterior with lift 
24,"385,000€","Flat / Apartment in calle gran de sant Andreu, 204, Sant Andreu, Barcelona",2 bed 82 m²  exterior with lift 
25,"360,000€","Flat / Apartment in calle gran de sant Andreu, 204, Sant Andreu, Barcelona",2 bed 82 m²  exterior with lift 
26,"550,000€","Flat / Apartment in calle Nicaragua, NN, Les Corts, Barcelona",2 bed 102 m² Floor 1 exterior with lift 
27,"530,500€","Flat / Apartment in calle Nicaragua, NN, Les Corts, Barcelona",2 bed 95 m² Floor 1 exterior with lift 
28,"630,000€","Flat / Apartment in calle Nicaragua, NN, Les Corts, Barcelona",2 bed 100 m² Floor 4 exterior with lift 
29,"646,000€","Flat / Apartment in calle Josep Torres, NN, Vila de Gràcia, Barcelona",2 bed 88 m² Floor 2 exterior with lift 
30,"295,800€","Flat / Apartment in calle Escocia, 75, Vilapicina i la Torre Llobeta, Barcelona",2 bed 56 m² Floor 1 exterior with lift 
31,"2,158,000€","Flat / Apartment in calle Pau Claris, NN, La Dreta de l'Eixample, Barcelona",2 bed 150 m² Floor 4 exterior with lift 
