,prices,address,description
0,"460,000€","Flat / Apartment in calle de Viladomat, La Nova Esquerra de l'Eixample, Barcelona",4 bed 92 m² Floor 3 exterior with lift 
1,"999,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",5 bed 250 m²  exterior with lift 
2,"299,000€","Terraced house in La Font d'En Fargues, Barcelona",6 bed 174 m² 
3,"1,100,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 239 m²  exterior with lift 
4,"725,000€","Flat / Apartment in calle de Roger de Llúria, La Dreta de l'Eixample, Barcelona",5 bed 183 m² Floor 3 exterior with lift 
5,"725,000€","Flat / Apartment in calle de Roger de Llúria, La Dreta de l'Eixample, Barcelona",6 bed 183 m² Floor 3 exterior with lift 
6,"340,000€","Flat / Apartment in calle Mallorca, El Camp de l'Arpa del Clot, Barcelona",3 bed 99 m² Floor 4 exterior with lift 
7,"995,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 187 m²  exterior with lift 
8,"990,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",5 bed 192 m²  exterior with lift 
9,"595,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 196 m² Floor 1 exterior with lift 
10,"749,000€","Flat / Apartment in travesía de Gràcia, Sant Gervasi - Galvany, Barcelona",5 bed 210 m² Floor 1 exterior with lift 
11,"2,200,000€","Flat / Apartment in calle de Josep Bertrand, Sant Gervasi - Galvany, Barcelona",7 bed 500 m²  exterior with lift 
12,"475,000€","Flat / Apartment in IGNACIO BARRAQUER, Les Corts, Barcelona",4 bed 113 m² Floor 3 exterior with lift 
13,"990,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",5 bed 192 m² Floor 1 exterior with lift 
14,"1,175,000€","Penthouse in La Dreta de l'Eixample, Barcelona",4 bed 190 m² Floor 7 exterior with lift 
15,"265,000€","Flat / Apartment in calle de Villarroel, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 85 m² Mezzanine interior with lift 
16,"395,000€","Flat / Apartment in La Nova Esquerra de l'Eixample, Barcelona",3 bed 92 m² Floor 5 exterior with lift 
17,"680,000€","Flat / Apartment in El Gòtic, Barcelona",5 bed 175 m² Floor 1 exterior with lift 
18,"638,000€","Flat / Apartment in Sarrià, Barcelona",5 bed 143 m² Floor 1 exterior with lift 
19,"695,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 139 m² Floor 4 exterior with lift 
20,"550,000€","Flat / Apartment in calle de Còrsega, La Dreta de l'Eixample, Barcelona",4 bed 110 m² Floor 1 exterior without lift 
21,"499,000€","Flat / Apartment in avenida de Josep Tarradellas, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 100 m² Floor 7  with lift 
22,"229,000€","Flat / Apartment in Sants, Barcelona",4 bed 72 m² Floor 1 exterior without lift 
23,"230,000€","Flat / Apartment in Porta, Barcelona",3 bed 71 m² Floor 4 exterior with lift 
24,"345,000€","Flat / Apartment in Gran Via de les Corts Catalanes, Sant Antoni, Barcelona",3 bed 79 m² Floor 5 exterior with lift 
25,"525,000€","Flat / Apartment in calle de València, La Sagrada Família, Barcelona",3 bed 110 m² Mezzanine exterior with lift 
26,"390,000€","Penthouse in calle Industria, La Sagrada Família, Barcelona",2 bed 83 m² Floor 3 exterior with lift 
27,"350,000€","Flat / Apartment in arco de triomf, NN, Sant Pere - Santa Caterina i la Ribera, Barcelona",4 bed 100 m² Floor 3 interior with lift 
28,"950,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",4 bed 202 m² Floor 8 exterior with lift 
29,"1,250,000€","Flat / Apartment in paseo de la Bonanova, Sant Gervasi - La Bonanova, Barcelona",5 bed 247 m² Floor 2 exterior with lift 
30,"730,000€","Flat / Apartment in calle d'Aragó, L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 170 m² Floor 3 exterior with lift 
31,"385,000€","Flat / Apartment in calle del Capità Arenas, Pedralbes, Barcelona",3 bed 62 m² Floor 6 exterior with lift 
32,"430,000€","Flat / Apartment in calle del Capità Arenas, Pedralbes, Barcelona",3 bed 73 m² Floor 8 exterior with lift 
33,"1,200,000€","Flat / Apartment in rambla de Catalunya, La Dreta de l'Eixample, Barcelona",5 bed 200 m² Floor 4 exterior with lift 
34,"530,000€","Flat / Apartment in Gran Via de les Corts Catalanes, El Fort Pienc, Barcelona",6 bed 145 m² Floor 4 exterior with lift 
35,"340,000€","Flat / Apartment in La Maternitat i Sant Ramon, Barcelona",4 bed 80 m² Floor 5 exterior with lift 
36,"1,550,000€","Flat / Apartment in Pedralbes, Barcelona",5 bed 297 m² Floor 2 exterior with lift 
37,"1,350,000€","House in Sarrià, Barcelona",4 bed 262 m² 
38,"390,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",3 bed 100 m² Floor 1  with lift 
39,"759,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",3 bed 124 m² Floor 4 exterior with lift 
40,"490,000€","Detached house in Horta, Barcelona",5 bed 161 m² 
41,"255,000€","Flat / Apartment in calle del Clot, El Clot, Barcelona",3 bed 77 m² Floor 4 exterior with lift 
42,"560,000€","Penthouse in Espinoi, El Putxet i el Farró, Barcelona",4 bed 130 m² Floor 3 exterior with lift 
43,"325,000€","Flat / Apartment in plaza de la Llibertat, Vila de Gràcia, Barcelona",2 bed 74 m² Floor 1 exterior without lift 
44,"360,000€","Detached house in Castanys, El Poblenou, Barcelona",4 bed 150 m² 
45,"725,000€","Flat / Apartment in calle de Gravina, El Raval, Barcelona",5 bed 175 m² Floor 1 exterior with lift 
46,"1,650,000€","Flat / Apartment in paseo de Gràcia, La Dreta de l'Eixample, Barcelona",7 bed 212 m² Floor 2 exterior with lift 
47,"1,780,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",5 bed 285 m² Floor 2 exterior with lift 
48,"899,000€","Flat / Apartment in Les Tres Torres, Barcelona",4 bed 208 m²  exterior 
49,"549,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 103 m²  exterior with lift 
50,"895,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",5 bed 200 m² Floor 6 exterior with lift 
51,"895,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",5 bed 208 m²  exterior 
52,"1,900,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",5 bed 306 m²  exterior with lift 
53,"470,000€","Flat / Apartment in El Gòtic, Barcelona",3 bed 88 m²  exterior with lift 
54,"6,500,000€","House in Pedralbes, Barcelona",6 bed 800 m² 
55,"4,600,000€","House in Pedralbes, Barcelona",10 bed 790 m² 
56,"1,195,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",6 bed 208 m²   with lift 
